,p_val,avg_log2FC,pct.1,pct.2,pct.diff,p_val_adj,cluster,gene
CTSC.1,1.60E-34,0.659044053,0.879,0.502,0.377,4.82E-30,pDCs,CTSC
SRPRA,1.62E-34,0.523684408,0.555,0.196,0.359,4.89E-30,pDCs,SRPRA
SLC33A1,2.19E-34,0.375229481,0.346,0.088,0.258,6.61E-30,pDCs,SLC33A1
TACC1,2.28E-34,0.556078772,0.654,0.259,0.395,6.89E-30,pDCs,TACC1
ZDHHC21,2.43E-34,0.385195495,0.324,0.079,0.245,7.33E-30,pDCs,ZDHHC21
MXD4,2.61E-34,0.533640832,0.495,0.166,0.329,7.87E-30,pDCs,MXD4
TGFBI.1,2.64E-34,0.59469369,0.632,0.244,0.388,7.97E-30,pDCs,TGFBI
TENT4A,3.80E-34,0.330869477,0.247,0.05,0.197,1.15E-29,pDCs,TENT4A
SLC2A1,3.93E-34,0.390277056,0.341,0.085,0.256,1.18E-29,pDCs,SLC2A1
BAIAP2-DT,4.22E-34,0.260185731,0.165,0.025,0.14,1.27E-29,pDCs,BAIAP2-DT
DPP4,4.70E-34,0.276149907,0.231,0.043,0.188,1.42E-29,pDCs,DPP4
MED13L,4.79E-34,0.45479077,0.489,0.156,0.333,1.44E-29,pDCs,MED13L
TMEM141,6.51E-34,0.518991816,0.505,0.178,0.327,1.96E-29,pDCs,TMEM141
LRRK1,8.00E-34,0.280141874,0.22,0.041,0.179,2.41E-29,pDCs,LRRK1
LIMD1,8.17E-34,0.349698606,0.313,0.075,0.238,2.47E-29,pDCs,LIMD1
SELPLG,9.96E-34,0.568359362,0.637,0.252,0.385,3.01E-29,pDCs,SELPLG
EPS8L2,1.03E-33,0.304441055,0.264,0.055,0.209,3.12E-29,pDCs,EPS8L2
SNCA.1,1.11E-33,0.352109265,0.308,0.075,0.233,3.34E-29,pDCs,SNCA
TMED10.1,1.16E-33,0.597683341,0.742,0.368,0.374,3.50E-29,pDCs,TMED10
CUX1,1.21E-33,0.550064366,0.495,0.171,0.324,3.65E-29,pDCs,CUX1
HLA-DPA1.1,1.31E-33,0.6070169,0.978,0.623,0.355,3.96E-29,pDCs,HLA-DPA1
SLC1A5,1.35E-33,0.447025925,0.423,0.128,0.295,4.07E-29,pDCs,SLC1A5
IFNAR2,1.47E-33,0.517143652,0.549,0.197,0.352,4.43E-29,pDCs,IFNAR2
RIOX2,1.98E-33,0.284000253,0.247,0.051,0.196,5.97E-29,pDCs,RIOX2
TP53I11,2.68E-33,0.347381005,0.275,0.061,0.214,8.10E-29,pDCs,TP53I11
LMAN1,2.74E-33,0.534987232,0.599,0.228,0.371,8.26E-29,pDCs,LMAN1
ANTXR2,3.09E-33,0.446813826,0.39,0.111,0.279,9.32E-29,pDCs,ANTXR2
CLINT1,3.53E-33,0.564509798,0.549,0.205,0.344,1.06E-28,pDCs,CLINT1
SH3TC1,3.76E-33,0.377258662,0.346,0.092,0.254,1.13E-28,pDCs,SH3TC1
BANP,4.73E-33,0.345705311,0.308,0.074,0.234,1.43E-28,pDCs,BANP
BTK,5.14E-33,0.458847756,0.484,0.16,0.324,1.55E-28,pDCs,BTK
TMEM268,5.73E-33,0.260671387,0.209,0.038,0.171,1.73E-28,pDCs,TMEM268
RPL6.1,6.16E-33,0.331620548,0.995,0.908,0.087,1.86E-28,pDCs,RPL6
SFMBT2,1.00E-32,0.357287629,0.302,0.073,0.229,3.02E-28,pDCs,SFMBT2
ARID2,1.10E-32,0.40613709,0.385,0.109,0.276,3.31E-28,pDCs,ARID2
MTDH,1.11E-32,0.603649566,0.819,0.47,0.349,3.34E-28,pDCs,MTDH
TMEM19,1.34E-32,0.361399754,0.341,0.09,0.251,4.03E-28,pDCs,TMEM19
FBXW5,1.39E-32,0.518271045,0.588,0.225,0.363,4.18E-28,pDCs,FBXW5
TAX1BP3,1.53E-32,0.426028306,0.456,0.146,0.31,4.62E-28,pDCs,TAX1BP3
C15orf39,2.38E-32,0.256092339,0.286,0.064,0.222,7.18E-28,pDCs,C15orf39
DDAH2.1,2.47E-32,0.513085984,0.577,0.218,0.359,7.46E-28,pDCs,DDAH2
GGA2,3.66E-32,0.497597982,0.5,0.174,0.326,1.10E-27,pDCs,GGA2
COMMD6.1,3.99E-32,0.482979841,0.94,0.731,0.209,1.20E-27,pDCs,COMMD6
RNF130.1,4.32E-32,0.578275288,0.747,0.324,0.423,1.30E-27,pDCs,RNF130
MAN1A1,5.08E-32,0.495549984,0.445,0.143,0.302,1.53E-27,pDCs,MAN1A1
RPS28,7.08E-32,0.26283221,1,0.953,0.047,2.13E-27,pDCs,RPS28
RNASEH2B,8.29E-32,0.478708374,0.582,0.218,0.364,2.50E-27,pDCs,RNASEH2B
NIN,8.44E-32,0.523601095,0.516,0.184,0.332,2.55E-27,pDCs,NIN
SAMHD1.1,8.99E-32,0.618919119,0.769,0.372,0.397,2.71E-27,pDCs,SAMHD1
R3HDM1,1.29E-31,0.338513294,0.33,0.085,0.245,3.91E-27,pDCs,R3HDM1
ALDH2.1,1.34E-31,0.539600373,0.56,0.21,0.35,4.04E-27,pDCs,ALDH2
RPS6KA2,1.43E-31,0.265214483,0.203,0.038,0.165,4.33E-27,pDCs,RPS6KA2
LETM1,1.56E-31,0.333503535,0.324,0.083,0.241,4.71E-27,pDCs,LETM1
CYBA,1.61E-31,0.353100742,0.978,0.897,0.081,4.85E-27,pDCs,CYBA
NADK,1.79E-31,0.451602434,0.456,0.148,0.308,5.39E-27,pDCs,NADK
SMARCB1,2.04E-31,0.483121335,0.516,0.188,0.328,6.15E-27,pDCs,SMARCB1
GLG1,2.09E-31,0.484256476,0.555,0.205,0.35,6.29E-27,pDCs,GLG1
DBNL,2.48E-31,0.55837381,0.714,0.327,0.387,7.49E-27,pDCs,DBNL
LTV1,2.73E-31,0.381599611,0.357,0.1,0.257,8.25E-27,pDCs,LTV1
SFT2D1.1,3.70E-31,0.527006752,0.769,0.35,0.419,1.12E-26,pDCs,SFT2D1
THUMPD2,4.38E-31,0.330145117,0.28,0.066,0.214,1.32E-26,pDCs,THUMPD2
GPX7,4.52E-31,0.256381226,0.247,0.053,0.194,1.36E-26,pDCs,GPX7
NAPA,5.94E-31,0.499122344,0.599,0.239,0.36,1.79E-26,pDCs,NAPA
PRKCD,6.17E-31,0.469166825,0.434,0.142,0.292,1.86E-26,pDCs,PRKCD
MYO9A,6.74E-31,0.355805929,0.286,0.069,0.217,2.03E-26,pDCs,MYO9A
HLA-DPB1.1,8.01E-31,0.567148873,0.978,0.628,0.35,2.42E-26,pDCs,HLA-DPB1
TTC3,8.21E-31,0.544778066,0.643,0.272,0.371,2.48E-26,pDCs,TTC3
APPL1,8.27E-31,0.508319426,0.549,0.211,0.338,2.50E-26,pDCs,APPL1
NR3C1,1.61E-30,0.586017781,0.681,0.304,0.377,4.86E-26,pDCs,NR3C1
CTNS,1.69E-30,0.27520362,0.236,0.051,0.185,5.09E-26,pDCs,CTNS
SEC11C,1.91E-30,0.551592693,0.621,0.265,0.356,5.77E-26,pDCs,SEC11C
PHYKPL,2.96E-30,0.448786346,0.516,0.183,0.333,8.92E-26,pDCs,PHYKPL
RNF11,3.98E-30,0.37317483,0.418,0.129,0.289,1.20E-25,pDCs,RNF11
ANXA1,4.12E-30,-0.958449939,0.209,0.595,-0.386,1.24E-25,pDCs,ANXA1
TAGLN2,4.21E-30,0.569780672,0.868,0.577,0.291,1.27E-25,pDCs,TAGLN2
ITCH,4.25E-30,0.422523659,0.401,0.124,0.277,1.28E-25,pDCs,ITCH
ZNF326,7.44E-30,0.379010659,0.385,0.115,0.27,2.24E-25,pDCs,ZNF326
ABI2,7.58E-30,0.377413201,0.33,0.09,0.24,2.29E-25,pDCs,ABI2
CYTH4,9.79E-30,0.537149791,0.555,0.219,0.336,2.95E-25,pDCs,CYTH4
GALNT3,1.39E-29,0.270433943,0.225,0.046,0.179,4.20E-25,pDCs,GALNT3
QDPR,1.85E-29,0.369897334,0.363,0.107,0.256,5.59E-25,pDCs,QDPR
SLC25A28,1.95E-29,0.296796075,0.275,0.066,0.209,5.87E-25,pDCs,SLC25A28
CKS2,1.95E-29,0.46633539,0.511,0.183,0.328,5.88E-25,pDCs,CKS2
IGF2R,2.06E-29,0.459734674,0.522,0.187,0.335,6.22E-25,pDCs,IGF2R
RPS13.1,2.29E-29,0.291549977,1,0.92,0.08,6.90E-25,pDCs,RPS13
CST3.1,2.41E-29,0.666428322,0.973,0.503,0.47,7.27E-25,pDCs,CST3
SLC35E1,2.78E-29,0.40313151,0.357,0.105,0.252,8.40E-25,pDCs,SLC35E1
NFKBID,2.84E-29,0.40989601,0.434,0.139,0.295,8.56E-25,pDCs,NFKBID
NFATC2IP,2.85E-29,0.455174148,0.489,0.173,0.316,8.59E-25,pDCs,NFATC2IP
MYL12A.1,3.00E-29,0.370088313,0.967,0.852,0.115,9.06E-25,pDCs,MYL12A
SPCS3,3.05E-29,0.591759978,0.676,0.332,0.344,9.20E-25,pDCs,SPCS3
HLA-DMB.1,3.32E-29,0.543524548,0.72,0.307,0.413,1.00E-24,pDCs,HLA-DMB
SSR3.1,3.77E-29,0.559429896,0.731,0.362,0.369,1.14E-24,pDCs,SSR3
NUTM2B-AS1,4.07E-29,0.368106723,0.396,0.119,0.277,1.23E-24,pDCs,NUTM2B-AS1
ARMH1,4.51E-29,0.389356451,0.297,0.076,0.221,1.36E-24,pDCs,ARMH1
CPNE3,4.67E-29,0.473206756,0.5,0.184,0.316,1.41E-24,pDCs,CPNE3
HLA-DQA2.1,4.83E-29,0.682765026,0.522,0.207,0.315,1.46E-24,pDCs,HLA-DQA2
MARS,4.99E-29,0.365062616,0.352,0.102,0.25,1.51E-24,pDCs,MARS
HLA-DMA.1,5.13E-29,0.572285324,0.846,0.408,0.438,1.55E-24,pDCs,HLA-DMA
UBL7,6.01E-29,0.355496937,0.379,0.114,0.265,1.81E-24,pDCs,UBL7
EIF4A3,7.32E-29,0.542194418,0.588,0.255,0.333,2.21E-24,pDCs,EIF4A3
FGFR1OP,9.71E-29,0.257087442,0.247,0.055,0.192,2.93E-24,pDCs,FGFR1OP
MAP4K4,9.96E-29,0.433825874,0.451,0.15,0.301,3.01E-24,pDCs,MAP4K4
GORASP2,1.01E-28,0.400951368,0.418,0.136,0.282,3.05E-24,pDCs,GORASP2
HINT2,1.06E-28,0.416563739,0.527,0.194,0.333,3.20E-24,pDCs,HINT2
TTC7A,1.16E-28,0.310673424,0.324,0.089,0.235,3.49E-24,pDCs,TTC7A
HIP1,1.38E-28,0.3048514,0.258,0.061,0.197,4.18E-24,pDCs,HIP1
SDHAF3,1.39E-28,0.387302999,0.396,0.123,0.273,4.21E-24,pDCs,SDHAF3
PPARA,1.81E-28,0.264538014,0.225,0.049,0.176,5.45E-24,pDCs,PPARA
STX18,1.86E-28,0.350315243,0.33,0.094,0.236,5.62E-24,pDCs,STX18
PLXNB2.1,2.18E-28,0.387444563,0.379,0.118,0.261,6.58E-24,pDCs,PLXNB2
FAM96A.1,2.45E-28,0.471365645,0.637,0.27,0.367,7.38E-24,pDCs,FAM96A
UBE2E2,2.53E-28,0.397492856,0.363,0.113,0.25,7.65E-24,pDCs,UBE2E2
HLA-DRA.1,2.68E-28,0.640360256,1,0.618,0.382,8.08E-24,pDCs,HLA-DRA
GRN.1,3.28E-28,0.58132369,0.885,0.433,0.452,9.90E-24,pDCs,GRN
ARHGDIB.1,3.46E-28,-0.448881809,0.764,0.842,-0.078,1.04E-23,pDCs,ARHGDIB
NIPA2,3.68E-28,0.405506896,0.418,0.139,0.279,1.11E-23,pDCs,NIPA2
MX1,5.99E-28,0.516813686,0.511,0.193,0.318,1.81E-23,pDCs,MX1
HYI,6.03E-28,0.269301368,0.269,0.066,0.203,1.82E-23,pDCs,HYI
RBBP4,8.22E-28,0.503724378,0.626,0.275,0.351,2.48E-23,pDCs,RBBP4
SLC35E2B,8.84E-28,0.343506364,0.324,0.089,0.235,2.67E-23,pDCs,SLC35E2B
NAGK.1,1.01E-27,0.469949466,0.593,0.241,0.352,3.06E-23,pDCs,NAGK
CEBPB.1,1.09E-27,-1.025807571,0.099,0.5,-0.401,3.29E-23,pDCs,CEBPB
FIP1L1,1.09E-27,0.432330812,0.467,0.167,0.3,3.30E-23,pDCs,FIP1L1
KLHL6,1.26E-27,0.406244853,0.418,0.138,0.28,3.81E-23,pDCs,KLHL6
MYL6B,1.42E-27,0.35438095,0.324,0.093,0.231,4.28E-23,pDCs,MYL6B
UNC119,1.95E-27,0.366649798,0.39,0.123,0.267,5.87E-23,pDCs,UNC119
PBX3,2.68E-27,0.319116874,0.297,0.08,0.217,8.09E-23,pDCs,PBX3
PPM1G,3.08E-27,0.505844496,0.61,0.266,0.344,9.29E-23,pDCs,PPM1G
HADH,3.20E-27,0.369888086,0.319,0.091,0.228,9.65E-23,pDCs,HADH
PTPN2,3.44E-27,0.498793292,0.577,0.247,0.33,1.04E-22,pDCs,PTPN2
02-Mar,3.88E-27,0.394181071,0.423,0.144,0.279,1.17E-22,pDCs,02-Mar
KRI1,3.97E-27,0.257857745,0.258,0.062,0.196,1.20E-22,pDCs,KRI1
TTC17,4.04E-27,0.377378725,0.473,0.164,0.309,1.22E-22,pDCs,TTC17
DNAJC7,4.66E-27,0.530711054,0.632,0.294,0.338,1.41E-22,pDCs,DNAJC7
RPL23,5.05E-27,0.349304137,0.978,0.852,0.126,1.52E-22,pDCs,RPL23
STAT2,5.25E-27,0.446632882,0.456,0.163,0.293,1.59E-22,pDCs,STAT2
PHC3,5.33E-27,0.423595564,0.429,0.145,0.284,1.61E-22,pDCs,PHC3
HEATR5B,5.36E-27,0.269361264,0.28,0.071,0.209,1.62E-22,pDCs,HEATR5B
ARID1B,5.74E-27,0.447809012,0.495,0.185,0.31,1.73E-22,pDCs,ARID1B
MICAL1,6.14E-27,0.339242992,0.39,0.124,0.266,1.85E-22,pDCs,MICAL1
SLC39A6,6.69E-27,0.337595333,0.324,0.094,0.23,2.02E-22,pDCs,SLC39A6
SERTAD2,8.44E-27,0.389964922,0.357,0.111,0.246,2.55E-22,pDCs,SERTAD2
CIITA,9.68E-27,0.341670754,0.352,0.105,0.247,2.92E-22,pDCs,CIITA
SNAP29,1.04E-26,0.446441237,0.423,0.151,0.272,3.15E-22,pDCs,SNAP29
RPL22L1,1.12E-26,0.558764939,0.714,0.371,0.343,3.39E-22,pDCs,RPL22L1
C11orf58,1.43E-26,0.514559483,0.846,0.51,0.336,4.30E-22,pDCs,C11orf58
MGLL,2.32E-26,0.285360483,0.264,0.066,0.198,7.01E-22,pDCs,MGLL
TRIM14,3.03E-26,0.386227679,0.374,0.119,0.255,9.14E-22,pDCs,TRIM14
C1QBP,3.82E-26,0.497435173,0.692,0.337,0.355,1.15E-21,pDCs,C1QBP
RPN2,4.09E-26,0.549005427,0.665,0.33,0.335,1.23E-21,pDCs,RPN2
COMT.1,6.38E-26,0.508388581,0.643,0.295,0.348,1.92E-21,pDCs,COMT
AL121944.1,6.43E-26,0.279295936,0.258,0.064,0.194,1.94E-21,pDCs,AL121944.1
GLIPR1,6.60E-26,0.542809201,0.747,0.383,0.364,1.99E-21,pDCs,GLIPR1
CNDP2.1,7.04E-26,0.489516282,0.604,0.265,0.339,2.12E-21,pDCs,CNDP2
PIK3AP1.1,7.14E-26,0.396886719,0.462,0.165,0.297,2.16E-21,pDCs,PIK3AP1
LYSMD2,7.35E-26,0.449343747,0.544,0.22,0.324,2.22E-21,pDCs,LYSMD2
PTBP3,9.24E-26,0.521149691,0.593,0.26,0.333,2.79E-21,pDCs,PTBP3
RNF5,9.69E-26,0.414367926,0.473,0.178,0.295,2.92E-21,pDCs,RNF5
RUFY3,1.07E-25,0.304810082,0.297,0.082,0.215,3.23E-21,pDCs,RUFY3
PRKRA,1.20E-25,0.340643507,0.368,0.117,0.251,3.61E-21,pDCs,PRKRA
MAPKAPK3,1.20E-25,0.397982706,0.445,0.161,0.284,3.61E-21,pDCs,MAPKAPK3
SLC25A5,1.28E-25,0.521078382,0.846,0.498,0.348,3.88E-21,pDCs,SLC25A5
PCNT,1.30E-25,0.262556789,0.231,0.054,0.177,3.91E-21,pDCs,PCNT
PTPN1,1.30E-25,0.48837542,0.516,0.21,0.306,3.92E-21,pDCs,PTPN1
HLA-DQA1.1,1.52E-25,0.532282448,0.841,0.394,0.447,4.59E-21,pDCs,HLA-DQA1
REXO2,1.55E-25,0.398656595,0.473,0.174,0.299,4.67E-21,pDCs,REXO2
ELMSAN1,1.57E-25,0.404511028,0.39,0.13,0.26,4.73E-21,pDCs,ELMSAN1
GLT8D1,1.57E-25,0.320505868,0.346,0.105,0.241,4.75E-21,pDCs,GLT8D1
IL32.1,1.61E-25,-1.163037135,0.104,0.484,-0.38,4.85E-21,pDCs,IL32
HMGN3,2.01E-25,0.499332857,0.758,0.382,0.376,6.05E-21,pDCs,HMGN3
CYFIP2.1,2.05E-25,0.407867678,0.429,0.144,0.285,6.19E-21,pDCs,CYFIP2
SAP30BP,2.12E-25,0.433365162,0.478,0.183,0.295,6.39E-21,pDCs,SAP30BP
NUDT5,2.85E-25,0.398888418,0.511,0.198,0.313,8.59E-21,pDCs,NUDT5
ATP2A3,3.09E-25,0.34753276,0.39,0.124,0.266,9.33E-21,pDCs,ATP2A3
ZNF787,3.78E-25,0.292852901,0.297,0.083,0.214,1.14E-20,pDCs,ZNF787
NRDC,5.05E-25,0.446505924,0.566,0.237,0.329,1.52E-20,pDCs,NRDC
HNRNPA1L2,5.26E-25,0.25154851,0.22,0.05,0.17,1.59E-20,pDCs,HNRNPA1L2
TNRC6B.1,5.30E-25,0.519005513,0.698,0.341,0.357,1.60E-20,pDCs,TNRC6B
NCF1.1,5.32E-25,0.489924163,0.742,0.361,0.381,1.60E-20,pDCs,NCF1
EDEM1,5.46E-25,0.36181143,0.412,0.141,0.271,1.65E-20,pDCs,EDEM1
TRABD,6.28E-25,0.479502278,0.632,0.288,0.344,1.89E-20,pDCs,TRABD
AL360012.1,6.92E-25,0.276518606,0.203,0.045,0.158,2.09E-20,pDCs,AL360012.1
DTNBP1,7.61E-25,0.353299489,0.379,0.125,0.254,2.30E-20,pDCs,DTNBP1
ECHDC1,7.72E-25,0.458282352,0.522,0.218,0.304,2.33E-20,pDCs,ECHDC1
TM9SF3,9.27E-25,0.484801892,0.549,0.234,0.315,2.80E-20,pDCs,TM9SF3
DSTN,1.01E-24,0.550655208,0.687,0.357,0.33,3.05E-20,pDCs,DSTN
XPNPEP1,1.04E-24,0.274767271,0.297,0.084,0.213,3.13E-20,pDCs,XPNPEP1
RPS12.1,1.06E-24,0.271992975,1,0.938,0.062,3.19E-20,pDCs,RPS12
MORF4L2,1.08E-24,0.439448762,0.582,0.251,0.331,3.26E-20,pDCs,MORF4L2
TMED9.1,1.09E-24,0.486084418,0.769,0.384,0.385,3.30E-20,pDCs,TMED9
Z93241.1,1.14E-24,0.287175252,0.247,0.062,0.185,3.45E-20,pDCs,Z93241.1
DNAJC3,1.22E-24,0.44215672,0.538,0.221,0.317,3.68E-20,pDCs,DNAJC3
CTDP1,1.25E-24,0.256539262,0.236,0.058,0.178,3.77E-20,pDCs,CTDP1
RPL27.1,1.32E-24,0.296754171,0.989,0.886,0.103,3.98E-20,pDCs,RPL27
DUSP22,1.32E-24,0.429553168,0.39,0.137,0.253,4.00E-20,pDCs,DUSP22
PIK3CG,1.38E-24,0.319863154,0.308,0.09,0.218,4.17E-20,pDCs,PIK3CG
DNAJA1,1.39E-24,0.568862749,0.747,0.437,0.31,4.19E-20,pDCs,DNAJA1
CCDC57,1.93E-24,0.38164626,0.401,0.137,0.264,5.82E-20,pDCs,CCDC57
DDOST,2.08E-24,0.472969683,0.621,0.285,0.336,6.28E-20,pDCs,DDOST
RPL22,2.61E-24,0.316797659,0.995,0.874,0.121,7.87E-20,pDCs,RPL22
PTMS.1,2.94E-24,0.468136239,0.549,0.229,0.32,8.86E-20,pDCs,PTMS
CD52.1,3.09E-24,-0.717783391,0.495,0.721,-0.226,9.31E-20,pDCs,CD52
HVCN1,3.48E-24,0.337839676,0.374,0.123,0.251,1.05E-19,pDCs,HVCN1
CHMP5,4.13E-24,0.4747353,0.676,0.327,0.349,1.25E-19,pDCs,CHMP5
AIDA,4.92E-24,0.391978857,0.418,0.151,0.267,1.48E-19,pDCs,AIDA
MAP3K2,5.80E-24,0.46095061,0.588,0.254,0.334,1.75E-19,pDCs,MAP3K2
AP1S2,5.86E-24,0.482726272,0.67,0.315,0.355,1.77E-19,pDCs,AP1S2
SNX18,8.80E-24,0.31279916,0.352,0.112,0.24,2.66E-19,pDCs,SNX18
SEC31A,9.92E-24,0.430760607,0.495,0.198,0.297,2.99E-19,pDCs,SEC31A
RPL37A,1.07E-23,0.270373376,1,0.924,0.076,3.23E-19,pDCs,RPL37A
PQLC1,1.23E-23,0.32308547,0.341,0.109,0.232,3.71E-19,pDCs,PQLC1
NMT1,1.27E-23,0.445785904,0.516,0.218,0.298,3.82E-19,pDCs,NMT1
SSR1,1.33E-23,0.480418691,0.643,0.315,0.328,4.03E-19,pDCs,SSR1
IQGAP2,1.35E-23,0.467721663,0.582,0.254,0.328,4.06E-19,pDCs,IQGAP2
S100A10.1,1.60E-23,-0.656163932,0.511,0.738,-0.227,4.82E-19,pDCs,S100A10
IQSEC1,1.98E-23,0.36625291,0.385,0.131,0.254,5.98E-19,pDCs,IQSEC1
SEC63,2.32E-23,0.422758735,0.473,0.188,0.285,7.00E-19,pDCs,SEC63
NUPL2,2.43E-23,0.36502321,0.335,0.108,0.227,7.33E-19,pDCs,NUPL2
EVL.1,3.03E-23,-0.792748479,0.121,0.486,-0.365,9.15E-19,pDCs,EVL
SPATS2,3.33E-23,0.267006839,0.253,0.067,0.186,1.01E-18,pDCs,SPATS2
UBE2E3,3.51E-23,0.474697542,0.473,0.196,0.277,1.06E-18,pDCs,UBE2E3
RHBDF2,3.73E-23,0.349748406,0.418,0.15,0.268,1.13E-18,pDCs,RHBDF2
TMED2,3.81E-23,0.464469325,0.742,0.374,0.368,1.15E-18,pDCs,TMED2
CUL4B,3.91E-23,0.289515551,0.269,0.075,0.194,1.18E-18,pDCs,CUL4B
CHMP1B.1,4.02E-23,0.490104125,0.593,0.267,0.326,1.21E-18,pDCs,CHMP1B
PTPRCAP.1,4.36E-23,0.506395229,0.516,0.191,0.325,1.31E-18,pDCs,PTPRCAP
NUP62,4.47E-23,0.380932738,0.429,0.158,0.271,1.35E-18,pDCs,NUP62
KDM5A,4.51E-23,0.442273024,0.56,0.243,0.317,1.36E-18,pDCs,KDM5A
GOLGA3,4.82E-23,0.329432847,0.313,0.096,0.217,1.46E-18,pDCs,GOLGA3
INTS6,5.77E-23,0.356583296,0.511,0.196,0.315,1.74E-18,pDCs,INTS6
DFFA,5.96E-23,0.363100393,0.308,0.097,0.211,1.80E-18,pDCs,DFFA
MFSD12.1,6.42E-23,0.349200801,0.385,0.133,0.252,1.94E-18,pDCs,MFSD12
KDM1A,6.92E-23,0.301060482,0.28,0.081,0.199,2.09E-18,pDCs,KDM1A
TBL1XR1,9.68E-23,0.451835258,0.516,0.218,0.298,2.92E-18,pDCs,TBL1XR1
INSR,1.12E-22,0.272045099,0.247,0.066,0.181,3.38E-18,pDCs,INSR
TGFBR2,1.15E-22,0.414811422,0.577,0.244,0.333,3.48E-18,pDCs,TGFBR2
MYO15B,1.17E-22,0.263039495,0.231,0.059,0.172,3.54E-18,pDCs,MYO15B
TMEM258,1.22E-22,0.447206356,0.885,0.589,0.296,3.69E-18,pDCs,TMEM258
CHCHD2,1.24E-22,0.411850525,0.929,0.718,0.211,3.73E-18,pDCs,CHCHD2
BRI3BP,1.31E-22,0.302024525,0.286,0.084,0.202,3.96E-18,pDCs,BRI3BP
THBD.1,1.52E-22,0.36057674,0.324,0.101,0.223,4.59E-18,pDCs,THBD
ZNF506,1.53E-22,0.298575866,0.319,0.097,0.222,4.62E-18,pDCs,ZNF506
SAMSN1,1.58E-22,-0.820530477,0.066,0.42,-0.354,4.77E-18,pDCs,SAMSN1
LAIR1.1,1.92E-22,0.436036285,0.593,0.258,0.335,5.81E-18,pDCs,LAIR1
FERMT3,2.23E-22,0.499023607,0.643,0.328,0.315,6.72E-18,pDCs,FERMT3
CANX.1,2.24E-22,0.497865302,0.725,0.396,0.329,6.76E-18,pDCs,CANX
P4HB.1,2.24E-22,0.497151612,0.736,0.407,0.329,6.77E-18,pDCs,P4HB
EEF1B2.1,2.32E-22,0.425568265,0.973,0.755,0.218,6.99E-18,pDCs,EEF1B2
TMX1,2.39E-22,0.394956245,0.511,0.213,0.298,7.23E-18,pDCs,TMX1
VCL,2.43E-22,0.301504316,0.297,0.088,0.209,7.34E-18,pDCs,VCL
AREG,2.76E-22,0.628706801,0.412,0.158,0.254,8.34E-18,pDCs,AREG
SRSF6,2.89E-22,0.411264404,0.495,0.203,0.292,8.72E-18,pDCs,SRSF6
LY9,3.01E-22,0.259510742,0.28,0.078,0.202,9.08E-18,pDCs,LY9
TMEM131,3.08E-22,0.317546917,0.341,0.112,0.229,9.28E-18,pDCs,TMEM131
RELT,3.60E-22,0.288743655,0.324,0.103,0.221,1.09E-17,pDCs,RELT
NUP210,4.02E-22,0.352175601,0.374,0.13,0.244,1.21E-17,pDCs,NUP210
RABGAP1L,4.08E-22,0.410309551,0.484,0.192,0.292,1.23E-17,pDCs,RABGAP1L
S100A4,4.18E-22,-0.495489213,0.78,0.831,-0.051,1.26E-17,pDCs,S100A4
RPL37,4.18E-22,0.258644309,0.995,0.949,0.046,1.26E-17,pDCs,RPL37
UFL1,4.47E-22,0.369054583,0.434,0.165,0.269,1.35E-17,pDCs,UFL1
MAPK1IP1L,5.55E-22,0.388893198,0.516,0.216,0.3,1.67E-17,pDCs,MAPK1IP1L
NUDT1,5.60E-22,0.40182361,0.467,0.19,0.277,1.69E-17,pDCs,NUDT1
NR4A3,6.22E-22,0.417487492,0.264,0.076,0.188,1.88E-17,pDCs,NR4A3
MAD2L2,8.09E-22,0.333321426,0.374,0.131,0.243,2.44E-17,pDCs,MAD2L2
SOCS3.1,8.36E-22,0.445647074,0.582,0.254,0.328,2.52E-17,pDCs,SOCS3
CTSB.1,9.50E-22,0.456754508,0.912,0.477,0.435,2.87E-17,pDCs,CTSB
RARRES3.1,1.02E-21,-0.778673988,0.049,0.399,-0.35,3.07E-17,pDCs,RARRES3
FAM53C,1.04E-21,0.396342105,0.385,0.139,0.246,3.13E-17,pDCs,FAM53C
SCARB1,1.19E-21,0.262210055,0.22,0.057,0.163,3.60E-17,pDCs,SCARB1
ITM2B,1.32E-21,-0.414770788,0.819,0.862,-0.043,3.97E-17,pDCs,ITM2B
SLC30A5,1.46E-21,0.314959726,0.302,0.096,0.206,4.40E-17,pDCs,SLC30A5
EXOSC5,1.58E-21,0.282906719,0.297,0.092,0.205,4.76E-17,pDCs,EXOSC5
SGSM3,1.58E-21,0.30761162,0.319,0.103,0.216,4.76E-17,pDCs,SGSM3
ETV3,2.09E-21,0.324309657,0.247,0.069,0.178,6.30E-17,pDCs,ETV3
MOB1A,2.10E-21,0.472150363,0.753,0.421,0.332,6.34E-17,pDCs,MOB1A
RREB1,2.12E-21,0.329356132,0.379,0.135,0.244,6.39E-17,pDCs,RREB1
IFNAR1,2.16E-21,0.402133813,0.527,0.227,0.3,6.51E-17,pDCs,IFNAR1
SERP1,2.35E-21,0.433750198,0.907,0.637,0.27,7.10E-17,pDCs,SERP1
ZNF652,2.51E-21,0.356937513,0.401,0.146,0.255,7.56E-17,pDCs,ZNF652
GIMAP4.1,2.51E-21,-0.766313635,0.033,0.38,-0.347,7.58E-17,pDCs,GIMAP4
LAP3.1,2.53E-21,0.44488277,0.544,0.245,0.299,7.65E-17,pDCs,LAP3
